occurrenceID	institutionCode	year	month	day	eventID	time_start_utc	time_start_utc_text	time_stop_utc	time_stop_utc_text	Sea State (BF)	Cloud cover (%)	Vessel speed (nm)	latitude_start_degree	latitude_start_decimal_minute	longitude_start_degree	longitude_start_decimal_minute	latitude_stop_degree	latitude_stop_decimal_minute	longitude_stop_degree	longitude_stop_decimal_minute	geodeticDatum	vernacularName	individualCount	verbatimIdentification	verbatimScientificName	identificationQualifier	scientificNameID	kingdom	phylum	class	order	family	genus	specificEpithet	scientificNameAuthorship	scientificName	taxonRank	identifiedBy	waterBody	higherGeographyID	basisOfRecord	recordedBy	recordedByID	eventRemarks	locality	verbatimLocality	remark	reportedWeather	identificationRemarks	occurrenceStatus	samplingProtocol	time_start	time_stop	eventTime	eventDate	decimalLatitude_start	decimalLongitude_start	decimalLatitude_end	decimalLongitude_end	footprintWKT	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters
376	ULB - EMC2	2023	3	14	TOPP_69	16.30	16:30:00	17:00	17:00:00	2	30		62	28.5	62	26	62	26	62	32.3	EPSG:4326	Black-bellied Storm-petrel	1	Fregetta tropica	Fregetta tropica		urn:lsid:marinespecies.org:taxname:212696	Animalia	Chordata	Aves	Procellariiformes	Hydrobatidae	Fregetta	tropica	(Gould, 1844)	Fregetta tropica (Gould, 1844)	species	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:30	17:00	16:30Z/17:00Z	2023-03-14	-61.525	-61.5667	-61.5667	-61.4617	LINESTRING (-61.5667 -61.5250, -61.4617 -61.5667)	-61.5142	-61.5459	3625
377	ULB - EMC2	2023	3	14	TOPP_69	16.30	16:30:00	17:00	17:00:00	2	30		62	28.5	62	26	62	26	62	32.3	EPSG:4326	Whale sp.	2	balaenoptera sp.	balaenoptera	sp.	urn:lsid:marinespecies.org:taxname:137013	Animalia	Chordata	Mammalia	Cetartiodactyla	Balaenopteridae	Balaenoptera		Lacépède, 1804	balaenoptera Lacépède, 1804	genus	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623				cf. Fin Whale		cf. Fin Whale	present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:30	17:00	16:30Z/17:00Z	2023-03-14	-61.525	-61.5667	-61.5667	-61.4617	LINESTRING (-61.5667 -61.5250, -61.4617 -61.5667)	-61.5142	-61.5459	3625
30	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Black-browed Albatross	4	Thalassarche melanophris	Thalassarche melanophris		urn:lsid:marinespecies.org:taxname:343995	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	melanophris	(Temminck, 1828)	Thalassarche melanophris (Temminck, 1828)	species	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
31	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Wandering Albatross	2	Diomedea exulans	Diomedea exulans		urn:lsid:marinespecies.org:taxname:212583	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Diomedea	exulans	Linnaeus, 1758	Diomedea exulans Linnaeus, 1758	species	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
32	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Grey-headed Albatross	1	Thalassarche chrysostoma	Thalassarche chrysostoma		urn:lsid:marinespecies.org:taxname:225760	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	chrysostoma	(Forster, 1785)	Thalassarche chrysostoma (Forster, 1785)	species	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
33	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Southern Giant-petrel	1	Macronectes giganteus	Macronectes giganteus		urn:lsid:marinespecies.org:taxname:212636	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Macronectes	giganteus	(Gmelin, 1789)	Macronectes giganteus (Gmelin, 1789)	species	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
34	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Northern Giant-petrel	1	Macronectes halli	Macronectes halli		urn:lsid:marinespecies.org:taxname:212637	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Macronectes	halli	Mathews, 1912	Macronectes halli Mathews, 1912	species	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
35	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Sooty Shearwater	1	Ardenna grisea	Ardenna grisea		urn:lsid:marinespecies.org:taxname:707542	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Ardenna	grisea	(Gmelin, 1789)	Ardenna grisea (Gmelin, 1789)	species	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
36	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	White-chinned Petrel	4	Procellaria aequinoctialis	Procellaria aequinoctialis		urn:lsid:marinespecies.org:taxname:212651	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Procellaria	aequinoctialis	Linnaeus, 1758	Procellaria aequinoctialis Linnaeus, 1758	species	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
37	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Diving Petrel sp.	7	Pelecanoides sp.	Pelecanoides	sp.	urn:lsid:marinespecies.org:taxname:225749	Animalia	Chordata	Aves	Procellariiformes	Pelecanoididae	Pelecanoides		Lacepède, 1799	Pelecanoides Lacepède, 1799	genus	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
